SJA1890-91;SJA2014;HAW1890-56;HAW2014;ORN1890-91;ORN2014;SLA1889-91;SLA2014;NOS1890-91;NOS2014;SWI1889-91;SWI2014;KAM1889-91;KAM2014;KMA1889-1956;KMA2014;KRZ1889-1956;KRZ2014;RYS1889-1956;RYS2014;MSC1889-1956;MSC2014;CMN1891-1956;CMN2014;GWR1889;GWR2014;GWS1889-1956;GWS2014
Solidago virgaurea;0;0;0;2152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solidago virgaurea subsp. minuta;0;2210;0;0;1867;1867;2452;2143;1206;1206;2061;2061;0;0;1704;1704;2122;0;2503;1765;2410;2188;2096;0;1823;1823;0;1825
Sorbus aria;0;0;0;0;0;0;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sorbus aucuparia subsp. glabrata;0;0;0;0;1867;1867;0;0;0;1206;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;0;1823;0;0
Stellaria nemorum;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;2110;2116;2503;1740;0;0;0;2096;0;0;0;0
Swertia perennis;0;0;0;0;0;0;2452;0;0;0;0;2061;0;0;0;1704;2122;2122;0;0;2410;0;2096;2096;1823;1823;1894;1894
Taraxacum officinale;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;1704;1704;0;0;0;0;0;0;0;0;0;0;0;1894
Taraxacum Sect. Alpina;0;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;0;2122;2122;0;2500;2405;2410;2096;2096;0;1823;0;0
Taraxacum Sect. Erythrosperma;0;0;0;0;0;0;2452;0;0;0;0;0;0;0;0;0;2122;0;2503;0;2410;0;0;0;0;0;0;0
Thalictrum aquilegiifolium;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thalictrum minus;0;0;2020;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;1950;0;0;0;0;0
Thesium alpinum;0;0;0;0;0;0;2452;0;1206;1206;2061;2061;0;0;0;0;0;0;0;0;0;0;0;0;1823;1823;1894;1825
Thymus alpestris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2405;2410;0;0;0;1823;0;0
Thymus pulcherrimus;0;0;0;2152;1867;0;0;0;0;0;0;2061;0;0;0;1704;0;2122;0;0;0;0;0;2096;0;0;0;1894
Thymus pulegioides;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;1704;0;2122;0;0;0;0;0;2096;0;1823;0;1894;1894
Tofieldia calyculata;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;1704;1704;0;0;0;0;0;0;0;0;0;1823;1894;1894
Traunsteinera globosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;1825
Trifolium badium;0;0;0;0;0;0;0;0;0;0;1978;0;0;0;0;1704;2122;0;0;0;0;0;0;0;0;0;0;1825
Trifolium pratense ;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;2060;0;0;1823;0;0
Trifolium repens;0;0;2000;0;0;0;0;0;0;1206;1978;2061;0;0;1704;1704;0;0;0;0;0;0;0;0;0;0;0;0
Trisetum alpestre;0;0;2152;2152;0;0;0;0;1206;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trisetum fuscum;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;1704;0;0;0;2503;0;2405;0;0;0;0;0;1894;0
Trollius europaeus;2210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;2096;0;0;0;0
Trollius europaeus subsp. transsilvanicus;0;0;2135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2116;0;0;0;0;2096;0;0;0;0;0
Tussilago farfara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;1825
Urtica dioica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;1823;0;1825
Vaccinium myrtillus;0;2210;0;0;0;1867;0;2333;0;1206;0;0;0;2126;1704;1704;2122;2116;0;2500;0;2188;2096;2096;1823;1823;0;1825
Vaccinium uliginosum;0;0;0;0;1867;1867;0;0;0;0;0;0;2126;0;1704;1704;2122;0;0;0;0;0;2096;0;1823;0;1894;0
Vaccinium vitis-idaea;0;0;0;2152;0;1867;0;2240;0;1206;0;2061;0;2126;1704;1704;2122;2116;0;2500;0;2188;2096;2096;1823;1823;0;1825
Vaccinum uliginosum subsp. microphyllum;0;0;0;2152;0;0;0;2223;0;0;0;2061;0;0;0;0;0;0;0;2053;0;0;0;0;0;1823;0;0
Valeriana officinalis subsp. sambucifolia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Valeriana tripteris;0;0;0;0;1867;0;0;0;0;1206;1978;0;0;0;0;0;0;0;2503;1725;0;0;0;0;1823;0;1894;0
Veratrum lobelianum;0;0;0;0;1867;1867;2452;0;0;0;0;2061;0;0;0;0;0;0;2503;1840;2410;1920;0;0;0;1823;0;0
Veronica alpina;2210;0;0;0;1867;0;2452;2366;0;0;0;0;2126;0;1704;0;0;2122;2345;2190;2410;2410;2096;0;1823;0;1894;0
Veronica aphylla;0;0;0;2152;0;0;0;0;0;0;2061;2061;0;0;1704;1704;2122;2122;0;0;0;0;2096;2096;1823;1823;1894;1894
Veronica chamaedrys;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Veronica fruticans;0;0;0;0;0;0;0;0;1206;0;2061;0;0;0;1704;1704;0;0;0;0;0;0;2085;0;1800;0;0;0
Veronica serpyllifolia;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Viola alpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;2122;0;0;0;0;2096;2096;0;1823;1894;0
Viola biflora;2210;0;0;0;1867;0;2452;0;0;0;0;2061;0;0;1704;1704;2122;2122;2503;1765;2405;1989;2096;2096;1823;1823;1894;1825
Viola lutea;0;0;2152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Viola palustris;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Viola tricolor subsp. subalpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
