Sla.K90;Sla.C14;Swi.K90;Swi.C14;Kma.K90;Kma.C14;Krz.K90;Krz.C14;Rys.K90;Rys.C14;Msc.K90;Msc.C14;Cmi.K90;Cmi.C14;Gwr.K90;Gwr.C14;Gws.K90;Gws.C14
Cruciata glabra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cystopteris alpina;0;0;0;0;0;0;1960;2122;0;0;0;0;0;0;0;0;0;0
Cystopteris fragilis;0;0;0;2061;1704;0;1999;2122;0;1895;0;0;0;2096;0;1823;0;1825
Cystopteris sudetica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1825
Dactylis glomerata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Daphne mezereum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Delphinium elatum;0;0;0;0;0;0;2122;0;0;0;0;0;0;0;1823;1823;0;0
Delphinium oxysepalum;0;0;0;0;0;1704;0;2122;0;0;0;0;0;0;0;0;0;0
Deschampsia cespitosa                     ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;1894
Deschampsia flexuosa;0;2370;0;0;0;1704;2111;0;2503;1725;0;1989;0;0;0;1823;0;0
Dianthus glacialis;0;0;1998;2061;0;0;2122;0;0;0;2410;0;0;0;0;0;0;0
Dianthus plumarius;0;0;0;0;0;1704;0;0;0;0;0;0;0;0;1800;0;0;0
Dianthus superbus subsp. alpestris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1823;0;0
Digitalis grandiflora;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1700;0;0;0
Diphasiastrum alpinum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Doronicum austriacum;0;0;1978;0;0;0;0;0;0;1725;0;0;0;0;0;0;0;0
Doronicum clusii;0;2452;1998;0;0;0;0;2116;2503;2500;2410;2410;0;0;0;0;0;0
Draba aizoides;0;0;0;2061;1704;1704;2122;2122;0;0;0;0;0;2096;1823;1823;1894;1894
Draba dubia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Draba tomentosa;0;0;0;2061;0;0;0;2122;0;0;0;0;0;0;0;1823;0;0
Dryas octopetala;0;0;0;2061;1704;1704;2122;2112;0;0;0;0;0;2096;1823;1823;0;1894
Dryopteris carthusiana;0;0;0;0;0;0;2098;0;0;0;0;0;0;0;0;0;0;0
Dryopteris dilatata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1825
Empetrum nigrum;0;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;0;0;0
Empetrum nigrum subsp. hermaphroditum;0;2230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Epilobium alpestre;0;0;0;0;0;1704;0;0;0;0;0;0;0;0;1700;1823;0;0
Epilobium alsinifolium;0;0;0;0;0;0;0;0;0;0;0;0;0;2096;0;1823;0;1825
Epilobium anagallidifolium;0;0;0;0;1704;0;2122;0;2503;0;0;0;0;0;0;0;0;0
Epilobium angustifolium;0;0;0;0;0;0;0;2116;0;1623;0;0;0;0;0;1823;0;0
Epilobium tetragonum subsp. tetragonum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Epipactis atrorubens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Equisetum variegatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erigeron alpinus;0;0;0;0;0;0;2085;0;0;0;0;0;0;0;0;0;0;0
Erigeron nanus;0;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;0;0;0
Erigeron uniflorus;0;0;0;2061;0;0;2122;2122;2355;2500;2301;2251;0;2096;0;0;0;0
Euphrasia minima;0;2075;0;0;1704;1704;0;0;0;0;0;0;0;0;0;0;0;1894
Euphrasia minima subsp. tatrae;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Euphrasia salisburgensis;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;1823;1823;1894;1825
Euphrasia stricta;0;0;0;0;0;1704;0;0;0;0;0;0;0;0;0;0;0;0
Fagus sylvatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca airoides;0;2452;0;2061;1704;1704;2122;2122;2503;2500;0;2410;0;0;0;0;0;1894
Festuca amethystina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca carpatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Festuca picta;0;0;0;0;0;0;2122;0;2503;1725;2410;2188;0;0;0;0;0;1894
Festuca psammophila;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1825
