Sja.S91;Sja.C14;Haw.S91;Haw.C14;Orn.S91;Orn.C14;Sla.S91;Sla.C14;Nos.S91;Nos.C14;Swi.S91;Swi.C14;Kam.S91;Kam.C14;Kma.S91;Kma.C14;Krz.S91;Krz.C14;Rys.S91;Rys.C14;Cmi.S91;Cmi.C14;Gws.S91;Gws.C14
Cystopteris_alpina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0
Cystopteris_fragilis;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;2122;0;1895;0;2096;0;1825
Cystopteris_sudetica;2210;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;1825
Dactylis_glomerata;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Daphne_mezereum;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Delphinium_elatum;2210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Delphinium_oxysepalum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;2122;0;0;0;0;0;0
Deschampsia_cespitosa_____________________;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Deschampsia_flexuosa;0;0;0;0;0;1867;0;2370;0;1206;0;0;0;0;0;1704;0;0;0;1725;0;0;0;0
Dianthus_glacialis;2210;2210;0;0;1867;0;0;0;0;0;0;2061;0;2126;0;0;2122;0;0;0;0;0;0;0
Dianthus_plumarius;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;1704;2122;0;0;0;0;0;1894;0
Dianthus_superbus_subsp._alpestris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Digitalis_grandiflora;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diphasiastrum_alpinum;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Doronicum_austriacum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1725;0;0;0;0
Doronicum_clusii;2210;2210;0;0;1867;0;2452;2452;0;0;0;0;2126;0;0;0;2122;2116;2503;2500;0;0;0;0
Draba_aizoides;0;0;0;0;0;0;0;0;0;0;2061;2061;0;0;1704;1704;2122;2122;0;0;0;2096;1894;1894
Draba_dubia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Draba_tomentosa;0;0;2152;0;0;0;0;0;0;0;2061;2061;0;0;0;0;0;2122;0;0;0;0;1894;0
Dryas_octopetala;0;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;1704;2122;2112;0;0;0;2096;1894;1894
Dryopteris_carthusiana;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dryopteris_dilatata;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1825
Empetrum_nigrum;2210;2210;0;0;1867;0;0;0;0;0;0;0;0;0;1704;1704;2122;0;0;0;0;0;1894;0
Empetrum_nigrum_subsp._hermaphroditum;0;0;0;0;0;1867;0;2230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Epilobium_alpestre;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;0;0
Epilobium_alsinifolium;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;2096;1894;1825
Epilobium_anagallidifolium;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Epilobium_angustifolium;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;2116;0;1623;0;0;0;0
Epilobium_tetragonum_subsp._tetragonum;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Epipactis_atrorubens;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;1894;0
Equisetum_variegatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erigeron_alpinus;2210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;0;0;0
Erigeron_nanus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;0;0
Erigeron_uniflorus;0;0;0;2152;0;0;0;0;0;0;0;2061;0;0;0;0;2122;2122;0;2500;0;2096;0;0
Euphrasia_minima;0;0;0;0;0;0;0;2075;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;0;1894
Euphrasia_minima_subsp._tatrae;0;0;0;0;0;0;0;0;0;0;0;2061;0;0;0;0;0;0;0;0;0;0;0;0
Euphrasia_salisburgensis;2210;0;0;2152;0;0;0;0;0;1206;2061;2061;0;0;0;0;0;0;0;0;0;0;0;1825
Euphrasia_stricta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1704;0;0;0;0;0;0;0;0
Fagus_sylvatica;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca_airoides;0;0;0;2152;0;1867;0;2452;0;0;0;2061;0;2126;0;1704;0;2122;0;2500;0;0;0;1894
Festuca_amethystina;0;0;0;0;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca_carpatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894
Festuca_picta;0;0;0;0;0;0;0;0;0;0;2061;0;2126;0;0;0;0;0;0;1725;0;0;0;1894
Festuca_psammophila;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1894;1825
Festuca_rubra;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca_versicolor;0;0;2152;2152;0;1867;0;2452;1206;1206;0;2061;0;0;0;1704;0;2122;0;0;0;2096;1894;0
Fragaria_vesca;0;0;0;0;0;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fraxinus_excelsior;0;0;0;0;0;0;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galium_anisophyllum;0;0;0;2152;0;0;0;0;0;1206;0;2061;0;0;0;1704;0;0;0;0;0;2096;0;1894
Galium_sudeticum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2122;0;0;0;0;1894;0
Galium_sylvaticum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gentiana_asclepiadea;0;0;0;0;1867;1867;0;0;0;1206;0;0;0;0;0;0;0;0;0;0;0;0;0;0
