Haw.P56;Haw.C14;Krz.P56;Krz.C14;Rys.P56;Rys.C14;Msc.P56;Msc.C14;Cmi.P56;Cmi.C14;Gws.P56;Gws.C14
Luzula sylvatica;0;0;0;0;0;0;0;0;0;0;0;0
Lycopodium annotinum;0;0;0;0;0;0;0;0;0;2096;0;0
Maianthemum bifolium;0;0;0;0;0;0;0;0;0;0;0;0
Melampyrum pratense;0;0;0;0;0;0;0;0;0;0;0;0
Melampyrum sylvaticum;0;0;0;0;0;0;0;0;0;0;0;0
Mercurialis perennis;0;0;0;0;0;0;0;0;0;0;0;0
Microstylis monophyllos;0;0;0;0;0;0;0;0;0;0;0;0
Minuartia laricifolia subsp. kitaibelii;0;0;0;0;0;0;0;0;0;0;0;0
Minuartia sedoides;0;2152;0;2122;0;2500;0;2410;0;2096;0;1894
Minuartia verna;0;0;0;0;0;0;0;2410;0;0;0;1894
Moehringia muscosa;0;0;0;0;0;0;0;0;0;0;0;0
Moehringia trinervia;0;0;0;0;0;0;0;0;0;0;0;0
Moneses uniflora;0;0;0;0;0;0;0;0;0;0;0;0
Mycelis muralis;0;0;0;0;0;0;0;0;0;0;0;0
Myosotis alpestris;0;2152;0;2122;0;2128;0;2410;0;2096;0;1894
Myosotis sylvatica;0;0;0;0;0;0;0;0;0;0;0;0
Nardus stricta ;0;0;0;0;0;0;0;2218;0;0;0;0
Omalotheca hoppeana;0;0;0;0;0;0;0;0;0;0;0;0
Omalotheca supina;0;0;0;0;0;2500;0;2410;0;2096;0;0
Omalotheca sylvatica;0;0;0;0;0;0;0;0;0;0;0;0
Oreochloa disticha;0;2152;0;2122;0;2500;0;2410;0;2096;0;0
Orthilia secunda;0;0;0;0;0;0;0;0;0;0;0;1825
Oxalis acetosella;0;0;0;0;0;0;0;0;0;0;0;0
Oxyria digyna;0;0;0;0;0;2335;0;2410;0;0;0;0
Oxytropis campestris;2110;0;0;0;0;0;0;0;0;0;1857;0
Oxytropis carpatica;0;0;0;0;0;0;0;0;0;0;0;1894
Oxytropis halleri;2110;0;0;0;0;0;0;0;0;0;0;0
Oxytropis pilosa;0;0;0;0;0;0;0;0;0;0;0;0
Papaver burseri;0;0;2122;2122;2360;0;0;0;0;0;1894;0
Paris quadrifolia;0;0;0;0;0;0;0;0;0;0;0;0
Parnassia palustris;2152;2152;0;0;0;0;2410;0;0;2096;0;1894
Pedicularis hacquetii;0;0;0;0;0;0;0;0;0;0;0;0
Pedicularis oederi;0;2152;0;2122;0;2500;0;2410;0;2096;0;1825
Pedicularis verticillata;0;2152;0;2122;0;2500;0;2410;0;2096;0;1894
Phegopteris connectilis;0;0;0;0;0;0;0;0;0;0;0;0
Phleum alpinum subsp. alpinum;0;0;0;2116;0;1725;0;0;0;0;0;0
Phleum hirsutum;0;0;0;0;0;0;0;0;0;0;0;0
Phyteuma orbiculare;0;2152;0;2122;0;0;0;0;0;2096;0;1894
Phyteuma spicatum;0;0;0;0;0;0;0;0;0;0;0;0
Picea abies;0;0;0;0;0;0;0;0;0;0;0;1825
Pimpinella major;2020;0;0;0;0;0;0;0;0;0;0;0
Pimpinella saxifraga;0;0;0;0;0;0;0;0;0;0;0;0
Pinguicula alpina;0;2152;0;0;0;0;0;0;0;2096;0;1825
Pinus cembra;0;0;0;0;0;0;0;0;0;0;0;0
Pinus mugo;0;0;0;0;0;1725;0;0;0;2096;0;1894
Pinus sylvestris;0;0;0;0;0;0;0;0;0;0;0;0
Plantago atrata;0;0;0;2116;0;0;0;0;0;2096;0;0
Plantago major;0;0;0;0;0;0;0;0;0;2096;0;1894
Plantanthera bifolia;0;0;0;0;0;0;0;0;0;0;0;0
Poa alpina;0;2152;0;2122;0;2500;0;2410;0;2096;0;1894
Poa annua;0;0;0;0;0;0;0;0;0;0;0;1894
Poa granitica;0;0;0;0;0;0;0;0;0;0;0;0
Poa chaixii;0;0;0;0;0;0;0;0;0;0;0;0
Poa laxa;0;0;0;0;0;2500;0;2410;0;0;0;0
Poa nemoralis;0;0;0;0;0;0;0;0;0;0;0;0
Polygala amara subsp. brachyptera;2152;2152;0;2122;0;0;0;0;0;0;0;0
Polygala vulgaris;0;0;0;0;0;0;0;0;0;0;0;1825
Polygonum bistorta;0;0;0;0;0;0;0;0;0;0;0;0
Polygonum viviparum;0;2152;0;2122;2490;2500;0;2410;0;0;0;1894
Polystichum lonchitis;0;0;0;2122;0;0;0;0;0;2096;0;0
Potentilla aurea;0;0;0;2122;0;2500;0;2251;0;2096;0;1825
Potentilla crantzii;0;2152;0;2122;0;0;0;2251;0;2096;0;1825
Potentilla erecta;0;0;0;0;0;0;0;0;0;0;0;0
Potentilla pusilla;0;0;0;0;0;0;0;0;0;0;0;0
Potentilla tabernaemontani;0;0;0;2107;0;0;0;0;0;0;0;0
Prenanthes purpurea;0;0;0;0;0;0;0;0;0;0;0;0
Primula auricula;0;2152;0;0;0;0;0;0;0;0;0;1825
Primula elatior;0;0;0;2122;0;0;0;0;0;2096;0;0
Primula minima;0;2152;0;0;0;2500;0;2410;0;2096;0;1825
Pritzelago alpina;0;0;0;2122;0;0;2300;2286;0;0;0;0
Prunella vulgaris;0;0;0;0;0;0;0;0;0;0;0;1825
Pulmonaria obscura;0;0;0;0;0;0;0;0;0;0;0;0
Pulsatilla alba;0;2152;0;2122;0;0;0;2410;0;2096;0;0
Pulsatilla vernalis;0;0;0;0;0;0;2170;0;0;0;0;0
Pyrola carpatica;0;2152;0;0;0;0;0;0;0;0;0;0
Pyrola minor;0;0;0;0;0;0;0;0;0;0;0;0
Pyrola rotundifolia;0;0;0;0;0;0;0;0;0;2096;0;0
Ranunculus acris;0;0;0;0;0;0;0;0;0;0;0;0
Ranunculus alpestris;0;2152;0;2122;2480;2190;0;2410;0;2096;0;1825
Ranunculus glacialis;0;0;0;0;0;2500;0;2410;0;0;0;0
Ranunculus oreophilus;2152;2152;2120;0;0;0;0;0;0;0;0;0
Ranunculus platanifolius;0;0;0;0;0;1800;0;0;0;0;0;0
Ranunculus pseudomontanus;0;0;0;2122;0;2500;0;2410;0;2096;0;1894
Ranunculus repens;0;0;0;0;0;0;0;0;0;0;0;0
Ranunculus thora;2152;2152;0;2122;0;0;0;0;0;0;0;0
Rhodiola rosea;0;2152;0;2122;0;1725;0;0;0;2096;0;1894
Ribes alpinum;0;0;0;0;0;0;0;0;0;0;0;0
Ribes petraeum;0;0;0;0;0;0;0;0;0;0;1850;0
Rosa pendulina;0;0;0;0;0;0;0;0;0;0;0;0
Rubus caesius;0;0;0;0;0;0;0;0;0;0;0;0
Rubus idaeus;0;0;0;0;0;0;0;0;0;0;0;1894
Rumex acetosa;0;0;0;0;0;0;0;0;0;0;0;0
Rumex alpestris;0;0;0;2122;0;0;0;0;0;0;0;0
Rumex alpinus;0;0;0;0;0;1740;0;0;0;2096;0;0
Sagina procumbens;0;0;0;0;0;0;0;0;0;0;0;0
Sagina saginoides;0;0;0;0;0;0;0;0;0;2096;0;0
Salix alpina;2150;2152;0;2122;0;0;0;0;0;0;0;1894
Salix herbacea;0;0;0;0;0;2500;0;2410;0;0;0;1894
Salix myrsinifolia;0;0;0;0;0;0;0;0;0;0;0;0
Salix reticulata;0;0;0;2122;0;0;2330;2251;0;2096;0;1894
Salix retusa;2152;2152;0;2122;0;2500;2290;2233;0;2096;0;0
Salix silesiaca;0;2152;0;0;0;1623;0;0;0;0;0;1894
Saussurea alpina;0;0;0;0;0;0;0;0;0;0;0;0
Saussurea pygmaea;0;0;0;0;0;0;0;0;0;0;0;0
Saxifraga adscendens;0;0;0;0;0;0;0;0;0;0;0;1894
Saxifraga aizoides;0;2152;0;2122;0;0;2410;0;0;2096;0;1894
Saxifraga androsacea;0;0;0;0;0;2500;0;2410;0;0;0;0
Saxifraga bryoides;0;0;0;0;0;2500;0;2410;0;0;0;1894
Saxifraga caesia;2152;2152;0;0;0;0;0;0;0;0;0;1894
Saxifraga carpatica;0;0;0;0;0;2500;0;2410;0;0;0;0
Saxifraga cernua;0;0;0;0;0;0;0;0;0;0;0;0
Saxifraga exarata subsp. moschata;2152;2152;0;2122;0;2500;0;2410;0;2096;0;1894
Saxifraga hieracifolia;0;0;0;0;2499;2190;0;2410;0;0;0;0
Saxifraga oppositifolia;0;2152;0;2122;0;2500;0;2410;0;2096;0;1894
Saxifraga paniculata;0;0;0;2112;0;0;0;0;0;2096;0;1894
Saxifraga retusa;0;0;0;0;0;2500;0;2410;0;0;0;0
