Sla;Kma;Krz;Rys;Msc;Cmi;Gwr;Gws;Haw;Sja;Orn;Nos;Swi;Kam
Epilobium alpestre;0;0;0;0;0;0;1700;0;0;0;0;0;0;0
Epilobium alsinifolium;0;0;0;0;0;2060;0;1894;2152;0;0;0;2061;0
Epilobium anagallidifolium;0;1704;2122;2503;0;0;0;0;0;0;1867;0;0;0
Epilobium angustifolium;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Epilobium tetragonum subsp. tetragonum;0;0;0;0;0;0;0;1894;0;0;1867;0;0;0
Epipactis atrorubens;0;0;0;0;0;0;0;1894;0;0;0;0;0;0
Equisetum variegatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erigeron alpinus;0;0;2122;0;0;0;0;0;0;2210;0;0;0;0
Erigeron nanus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erigeron uniflorus;0;0;2122;2355;2301;0;0;0;0;0;0;0;0;0
Euphrasia minima;0;1704;0;0;0;0;0;0;0;0;0;0;0;0
Euphrasia minima subsp. tatrae;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Euphrasia salisburgensis;0;0;0;0;0;0;1823;1894;0;2210;0;0;2061;0
Euphrasia stricta;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fagus sylvatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca airoides;0;1704;2122;2503;0;0;0;0;0;0;0;0;0;0
Festuca amethystina;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca carpatica;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca picta;0;0;2122;2503;2410;0;0;0;0;0;0;0;2061;2126
Festuca psammophila;0;0;0;0;0;0;0;1894;0;0;0;0;0;0
Festuca rubra;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Festuca versicolor;2452;1704;2122;0;0;0;0;1894;2152;0;0;1206;0;0
Fragaria vesca;0;1605;0;0;0;0;0;0;0;0;0;0;0;0
Fraxinus excelsior;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galium anisophyllum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Galium sudeticum;0;1704;2122;0;0;0;1823;1894;0;0;0;0;0;0
Galium sylvaticum;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gentiana asclepiadea;0;0;0;0;0;0;1823;0;0;0;1867;0;0;0
Gentiana clusii;0;1704;0;0;0;1858;1823;1894;0;0;0;0;0;0
Gentiana frigida;2452;0;0;2503;2410;2096;0;0;0;2210;0;0;0;0
Gentiana nivalis;0;1704;2122;0;0;0;1823;1894;0;0;1867;0;0;0
Gentiana punctata;2452;0;2122;2503;0;0;1823;0;0;0;0;0;0;0
Gentiana verna;0;1704;2122;0;0;0;1823;0;0;0;0;1206;0;0
Gentianella amarella;0;0;0;0;0;0;0;1894;0;0;0;0;0;0
Gentianella ciliata;0;1704;0;0;0;0;0;0;0;0;0;0;0;0
Gentianella germanica;0;1704;0;0;0;0;1823;1858;0;0;0;0;0;0
Gentianella lutescens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gentianella tenella;0;0;2122;0;0;0;0;0;0;0;0;0;0;0
Geranium robertianum;0;0;0;0;0;0;1700;1700;0;0;0;0;0;0
Geranium sylvaticum;0;1704;2085;0;0;0;1823;0;2152;0;1867;0;0;0
Geum montanum;2452;0;2122;2503;2410;0;1823;0;0;0;1867;0;2061;2126
Geum reptans;2452;0;0;2345;2410;0;0;0;0;0;0;0;0;2126
Geum rivale;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gymnadenia conopsea;0;0;0;0;0;0;1823;0;0;0;0;0;0;0
Gymnadenia odoratissima;0;0;0;0;0;0;0;1894;0;0;1867;1206;0;0
Gymnocarpium robertianum;0;0;0;0;0;0;0;1700;0;0;0;0;0;0
Gypsophila repens;0;1704;2122;0;0;0;1700;1894;0;0;0;1206;0;0
Hedysarum hedysaroides;0;0;2122;0;0;0;1823;1894;2152;0;1867;0;2061;0
Helianthemum nummularium;0;0;1991;0;0;0;0;1894;2152;0;0;1206;2061;0
Heracleum sphondylium;0;0;0;0;0;2060;0;0;0;0;0;0;0;0
Heracleum sphondylium subsp. sibiricum;2452;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium acuminatum;0;0;0;0;0;0;1700;0;0;0;0;0;0;0
Hieracium alpicola;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium alpinum;0;1704;2122;2503;2410;0;0;1894;0;2210;1867;0;2061;0
Hieracium atratum;0;0;2122;0;0;0;0;1894;0;0;0;0;0;0
