Species;Acronym;Lifeform;Sja.S91;Sja.C14;Haw.S91;Haw.B90;Haw.P56;Haw.C14;Orn.S91;Orn.C14;Sla.K90;Sla.S91;Sla.C14;Nos.S91;Nos.B90;Nos.C14;Swi.S91;Swi.K90;Swi.C14;Kam.S91;Kam.C14;Kma.S91;Kma.K90;Kma.B55;Kma.B90;Kma.C14;Krz.S91;Krz.K90;Krz.P56;Krz.P28;Krz.C14;Rys.S91;Rys.K90;Rys.P56;Rys.C14;Msc.K90;Msc.P56;Msc.P28;Msc.C14;Cmi.S91;Cmi.K90;Cmi.P56;Cmi.P49;Cmi.P56;Cmi.C14;Gwr.K90;Gwr.C14;Gws.K90;Gws.S91;Gws.B55;Gws.B90;Gws.P56;Gws.C14
Festuca rubra;Fes.rub;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Festuca versicolor;Fes.ver;H;NA;NA;2152;2152;NA;2152;NA;1867;2452;NA;2452;1206;NA;1206;NA;NA;2061;NA;NA;NA;1704;NA;NA;1704;NA;2122;NA;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;NA;1823;NA;1894;NA;NA;NA;NA
Fragaria vesca;Fra.ver;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;1605;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Fraxinus excelsior;Fra.exc;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Galium anisophyllum;Gal.ani;C;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;2061;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;1823;NA;NA;NA;NA;NA;1894
Galium sudeticum;Gal.sud;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;2122;NA;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;1823;NA;NA;1894;NA;NA;NA;NA
Galium sylvaticum;Gal.syl;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA
Gentiana asclepiadea;Gen.asc;H;NA;NA;NA;NA;NA;NA;1867;1867;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA;NA
Gentiana clusii;Gen.clu;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;1206;NA;NA;NA;NA;NA;NA;1704;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1858;NA;2000;NA;NA;1823;1823;1894;1894;NA;NA;NA;1825
Gentiana frigida;Gen.fri;H;2210;2210;NA;NA;NA;NA;NA;NA;2452;2452;2452;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2503;2503;NA;2500;2410;NA;2410;2410;NA;2096;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA
Gentiana nivalis;Gen.niv;T;NA;NA;NA;2152;NA;2152;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;1704;1704;1704;1704;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;1894;1894;NA;NA;NA;1894
Gentiana punctata;Gen.pun;H;NA;2210;NA;NA;NA;NA;NA;1867;2452;NA;2415;NA;NA;NA;NA;NA;NA;NA;2126;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;2503;NA;1840;NA;NA;NA;2188;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA;NA
Gentiana verna;Gen.ver;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;2061;NA;NA;NA;1704;NA;NA;1704;NA;2122;NA;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;1823;1823;NA;NA;1894;NA;NA;NA
Gentianella amarella;Gtl.ama;T;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Gentianella ciliata;Gtl.cil;T;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gentianella germanica;Gtl.ger;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;1858;NA;NA;NA;NA;NA
Gentianella lutescens;Gtl.lut;T;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA
Gentianella tenella;Gtl.ten;T;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Geranium robertianum;Ger.rob;T;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1700;NA;NA;NA;NA;NA;1700;NA
Geranium sylvaticum;Ger.syl;H;NA;NA;NA;NA;2152;2152;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;1704;NA;NA;NA;NA;2085;NA;2122;2122;NA;NA;NA;1725;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;1823;1823;NA;NA;NA;NA;NA;1825
Geum montanum;Geu.mon;H;NA;NA;NA;NA;NA;NA;1867;1867;2452;NA;2433;NA;NA;NA;2061;NA;2061;2126;NA;NA;NA;NA;NA;1704;NA;2122;NA;2122;2122;NA;2503;NA;2500;2410;NA;2410;2410;NA;NA;NA;NA;2096;2096;1823;1823;NA;NA;1894;NA;NA;1825
Geum reptans;Geu.rep;H;NA;NA;NA;NA;NA;NA;NA;NA;2452;NA;NA;NA;NA;NA;NA;NA;NA;2126;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2503;2345;NA;2500;2410;NA;2410;2410;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Geum rivale;Geu.riv;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Gymnadenia conopsea;Gym.con;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;1823;1823;NA;NA;NA;NA;NA;1825
Gymnadenia odoratissima;Gym.odo;G;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;1206;1206;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Gymnocarpium robertianum;Gmc.rob;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1700;NA
Gypsophila repens;Gyp.rep;C;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;NA;1206;NA;1206;NA;NA;NA;NA;NA;1704;NA;1704;1704;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1700;1823;NA;1894;NA;1894;NA;NA
Hedysarum hedysaroides;Hed.hed;G;NA;NA;NA;2152;2152;2152;1867;NA;NA;NA;NA;NA;NA;NA;2061;NA;2061;NA;NA;NA;NA;NA;NA;1704;2122;2122;NA;2122;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;2096;1823;1823;NA;1894;NA;1894;NA;1894
Helianthemum nummularium;Hel.num;Ch;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;NA;1206;NA;1206;2061;NA;2061;NA;NA;NA;NA;NA;NA;1704;NA;1991;NA;2122;2112;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;1823;1894;1894;NA;NA;NA;1894
Heracleum sphondylium;Her.sph;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2060;2050;2096;NA;NA;NA;NA;NA;NA;NA;NA;1825
Heracleum sphondylium subsp. sibiricum;Her.sib;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;2452;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hieracium acuminatum;Hie.acu;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1700;NA;NA;NA;NA;NA;NA;NA
Hieracium alpicola;Hie.ala;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894
Hieracium alpinum;Hie.alp;H;2210;2210;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;2126;NA;1704;NA;NA;NA;2122;2122;NA;2122;2116;NA;2503;NA;2500;2410;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;1823;NA;1894;1894;NA;NA;1894
Hieracium atratum;Hie.atr;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Hieracium aurantiacum;Hie.aur;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hieracium bifidum;Hie.bif;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894
Hieracium bupleuroides;Hie.bup;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hieracium caesium;Hie.cae;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Hieracium caespitosum;Hie.csp;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hieracium fritzei;Hie.fri;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Hieracium lactucella;Hie.lac;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1605;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hieracium murorum;Hie.mur;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;1605;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hieracium nigrescens;Hie.nig;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Hieracium pilosella;Hie.pil;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2360;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Hieracium piloselloides;Hie.pld;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA
Hieracium prenanthoides;Hie.pre;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1894;NA;NA;NA;NA
Hieracium villosum;Hie.vil;H;NA;NA;NA;NA;NA;NA;1867;1867;NA;NA;NA;1206;NA;1206;2061;NA;2061;NA;NA;NA;NA;NA;NA;1704;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;1823;1894;1894;1894;NA;NA;1825
Hieracium x brachiatum;Hie.bra;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Homogyne alpina;Hom.alp;H;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;NA;NA;NA;1206;NA;NA;2061;2126;NA;NA;1704;NA;NA;1704;NA;2122;NA;2122;2122;NA;2503;NA;2500;2410;NA;2410;2410;NA;NA;NA;NA;2096;2096;1823;1823;1894;NA;1894;NA;NA;1894
Huperzia selago;Hup.sel;C;NA;NA;NA;NA;NA;2152;1867;1867;2452;NA;2297;NA;NA;NA;NA;NA;2061;NA;2126;NA;1704;NA;NA;1704;2122;NA;NA;NA;NA;NA;2503;NA;1990;NA;NA;2410;2251;NA;NA;NA;NA;NA;NA;NA;1823;NA;1894;NA;NA;NA;1894
Hypericum maculatum;Hyp.mac;H;NA;NA;NA;NA;2152;2152;NA;1867;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1825
Hypericum tetrapterum;Hyp.tet;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA;NA
Hypochoeris uniflora;Hph.uni;H;NA;2210;NA;NA;NA;NA;NA;1867;NA;NA;1887;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;1823;NA;NA;NA;NA;NA;NA;NA
Jovibarba globifera subsp. globifera;Jov.glo;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;1894;NA;NA;NA;NA
Juncus trifidus;Jun.tri;H;NA;NA;NA;NA;NA;NA;1867;1867;NA;NA;2423;NA;NA;NA;2061;NA;2061;2126;NA;NA;NA;NA;NA;1704;2122;NA;NA;2122;2116;NA;2503;NA;2500;NA;NA;2410;2410;NA;NA;NA;NA;2096;NA;NA;1823;NA;NA;1894;NA;NA;1825
Juniperus communis;Jpr.nan;N;NA;NA;NA;NA;NA;NA;NA;1867;NA;NA;2200;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2043;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kernera saxatilis;Ker.sax;C;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;NA;NA;NA;NA;NA;NA;NA
Knautia kitaibelii                             ;Kna.kit;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2070;2096;NA;NA;NA;NA;NA;NA;NA;NA;NA
Larix decidua;Lar.dec;M;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Laserpitium latifolium;Las.lat;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1700;NA;NA;NA;NA;NA;NA;NA
Leontodon incanus;Leo.inc;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Leontodon montanus subsp. pseudotaraxaci;Leo.pse;H;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;1206;NA;1206;NA;NA;2061;NA;NA;1704;NA;NA;NA;NA;2122;2122;NA;2122;2122;NA;NA;NA;NA;2410;NA;2410;2233;NA;NA;NA;NA;2096;2096;1823;NA;NA;1894;NA;NA;NA;1825
Leontopodium alpinum;Ltp.alp;H;NA;NA;NA;NA;NA;2152;NA;NA;NA;NA;NA;1206;NA;1206;NA;2061;NA;NA;NA;1704;NA;NA;NA;1704;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;1894;1894;NA;NA;NA;1825
Leucanthemopsis alpina;Lch.alp;H;NA;NA;NA;NA;NA;NA;NA;NA;2452;2452;2452;NA;NA;NA;NA;NA;NA;2126;NA;1704;NA;NA;NA;NA;2122;2046;NA;2122;2122;2503;2503;NA;2500;2410;NA;2410;2410;NA;NA;NA;NA;2096;NA;NA;NA;NA;1894;NA;NA;NA;NA
Leucanthemum vulgare;Lct.vul;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2122;NA;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;1823;1823;NA;NA;NA;NA;NA;1894
Leucanthemum waldstenii;Lct.wal;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA
Ligusticum mutellina;Lig.mut;H;2210;2210;NA;NA;NA;NA;1867;1867;NA;NA;2415;NA;NA;1206;NA;NA;NA;2126;NA;1704;1704;NA;NA;1704;2122;2122;NA;2122;2122;NA;2503;NA;2155;2410;NA;2410;2410;NA;NA;NA;NA;2096;2096;NA;1823;NA;NA;1894;NA;NA;1825
Ligusticum mutellinoides;Lig.mts;H;NA;NA;2152;NA;NA;2152;NA;NA;2452;NA;2400;NA;NA;NA;NA;NA;2061;NA;2126;NA;NA;NA;NA;NA;2122;2122;NA;2122;2122;NA;2345;NA;2500;NA;NA;2410;2410;NA;NA;NA;NA;2096;2096;NA;NA;NA;NA;NA;NA;NA;NA
Lilium martagon;Lil.mar;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Linum catharticum;Lin.cat;T;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Linum perenne subsp. extraaxillare;Lin.ext;H;NA;NA;NA;NA;2152;2152;1867;NA;NA;NA;NA;NA;NA;NA;NA;NA;2061;NA;NA;NA;NA;NA;NA;1704;2122;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1823;NA;NA;NA;NA;NA;NA
Listera ovata;Lis.ova;G;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lloydia serotina;Llo.ser;G;2210;2210;2152;2152;NA;2152;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998;2061;NA;2126;NA;NA;NA;NA;NA;2122;2122;NA;2122;2122;NA;2200;NA;2500;2300;NA;2410;2410;NA;NA;NA;NA;2096;2096;1823;1823;1894;1894;NA;NA;NA;NA
Lotus corniculatus;Lot.cor;H;NA;NA;NA;NA;2020;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;2061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1700;1823;NA;NA;NA;NA;NA;NA
Luzula alpinopilosa;Luz.spa;H;NA;2210;NA;NA;NA;NA;1867;1867;NA;2452;2452;NA;NA;NA;NA;NA;2061;2126;NA;NA;NA;NA;NA;NA;2122;2122;NA;2122;2116;2503;2503;NA;2500;2410;NA;2410;2410;NA;NA;NA;NA;2096;2096;NA;NA;NA;NA;NA;NA;NA;NA
Luzula luzulina;Luz.luz;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1206;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Luzula luzuloides;Luz.nem;H;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1978;2061;NA;NA;NA;1704;NA;NA;1704;NA;NA;NA;2122;NA;NA;NA;NA;1800;NA;NA;NA;NA;NA;NA;NA;NA;2096;NA;1700;1823;NA;NA;NA;NA;NA;1825
