Sla.C14;Kma.C14;Krz.C14;Rys.C14;Msc.C14;Cmi.C14;Gwr.C14;Gws.C14;Haw.C14;Sja.C14;Orn.C14;Nos.C14;Swi.C14;Kam.C14
Cystopteris fragilis;0;0;2122;1895;0;2096;1823;1825;0;0;0;0;2061;0
Cystopteris sudetica;0;0;0;0;0;0;0;1825;0;0;0;0;0;0
Dactylis glomerata;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Daphne mezereum;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Delphinium elatum;0;0;0;0;0;0;1823;0;0;0;0;0;0;0
Delphinium oxysepalum;0;1704;2122;0;0;0;0;0;0;0;0;0;0;0
Deschampsia cespitosa                     ;0;0;0;0;0;0;1823;1894;0;0;1867;1206;0;0
Deschampsia flexuosa;2370;1704;0;1725;1989;0;1823;0;0;0;1867;1206;0;0
Dianthus glacialis;0;0;0;0;0;0;0;0;0;2210;0;0;2061;2126
Dianthus plumarius;0;1704;0;0;0;0;0;0;0;0;0;0;0;0
Dianthus superbus subsp. alpestris;0;0;0;0;0;0;1823;0;0;0;0;0;0;0
Digitalis grandiflora;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diphasiastrum alpinum;0;0;0;0;0;0;0;0;0;0;1867;0;0;0
Doronicum austriacum;0;0;0;1725;0;0;0;0;0;0;0;0;0;0
Doronicum clusii;2452;0;2116;2500;2410;0;0;0;0;2210;0;0;0;0
Draba aizoides;0;1704;2122;0;0;2096;1823;1894;0;0;0;0;2061;0
Draba dubia;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Draba tomentosa;0;0;2122;0;0;0;1823;0;0;0;0;0;2061;0
Dryas octopetala;0;1704;2112;0;0;2096;1823;1894;2152;0;0;0;2061;0
Dryopteris carthusiana;0;0;0;0;0;0;0;0;0;0;0;1206;0;0
Dryopteris dilatata;0;0;0;0;0;0;0;1825;0;0;1867;0;0;0
Empetrum nigrum;0;1704;0;0;0;0;0;0;0;2210;0;0;0;0
